ID,Class,SFrame,EFrame,ySF,yEF,SP
11,5,432,467,120,331,27.77
15,5,648,678,120,326,32.4
17,5,749,792,119,333,22.6
28,5,1278,1313,120,332,27.77
30,5,1464,1496,119,329,30.38
32,4,1530,1565,121,337,27.77
36,5,1732,1763,119,324,31.35
39,5,1895,1935,120,328,24.3
40,5,2017,2054,120,332,26.27
48,5,3164,3195,120,328,31.35
53,5,3437,3466,122,325,33.52
50,5,3602,3642,121,326,24.3
57,5,3982,4015,120,332,29.45
58,5,4082,4124,120,325,23.14
65,5,4266,4304,121,326,25.58
68,5,4344,4384,119,334,24.3
77,5,4487,4521,119,333,28.59
69,5,4530,4566,121,331,27.0
78,5,4562,4599,119,333,26.27
90,4,5046,5108,120,331,15.68
92,4,4965,5306,120,325,2.85
107,5,5304,5332,119,324,34.71
106,5,5335,5366,120,332,31.35
109,5,5369,5404,120,324,27.77
114,5,5477,5516,120,330,24.92
119,5,5504,5528,120,330,40.5
